Town,Farm,Period,date,GLM,n_mice,month,year,TN
Walpeup,Symes,OLD,5/08/1997,2,27,8,1997,441
Walpeup,Symes,OLD,9/09/1997,1,34,9,1997,180
Walpeup,Symes,OLD,9/09/1997,2,6,9,1997,441
Walpeup,Symes,OLD,21/10/1997,2,1,10,1997,180
Walpeup,Symes,OLD,21/10/1997,1,4,10,1997,180
Walpeup,Symes,OLD,15/12/1997,1,1,12,1997,441
Walpeup,Symes,OLD,15/12/1997,2,3,12,1997,441
Walpeup,Symes,OLD,23/01/1998,1,7,1,1998,180
Walpeup,Symes,OLD,23/01/1998,2,0,1,1998,294
Walpeup,Symes,OLD,15/02/1998,1,1,2,1998,180
Walpeup,Symes,OLD,15/02/1998,2,1,2,1998,294
Walpeup,Symes,OLD,28/04/1998,1,1,4,1998,180
Walpeup,Symes,OLD,28/04/1998,2,3,4,1998,147
Walpeup,Symes,OLD,17/02/1999,1,5,2,1999,120
Walpeup,Symes,OLD,17/02/1999,2,3,2,1999,216
Walpeup,Symes,OLD,24/04/1999,1,0,4,1999,120
Walpeup,Symes,OLD,24/04/1999,2,1,4,1999,216
Walpeup,Symes,OLD,26/09/1999,1,16,9,1999,120
Walpeup,Symes,OLD,26/09/1999,2,2,9,1999,216
Walpeup,Symes,OLD,24/10/1999,1,11,10,1999,120
Walpeup,Symes,OLD,24/10/1999,2,1,10,1999,216
Walpeup,Symes,OLD,23/11/1999,1,15,11,1999,120
Walpeup,Symes,OLD,23/11/1999,2,1,11,1999,216
Walpeup,Symes,OLD,20/12/1999,1,4,12,1999,120
Walpeup,Symes,OLD,20/12/1999,2,5,12,1999,216
Walpeup,Symes,OLD,25/01/2000,1,10,1,2000,120
Walpeup,Symes,OLD,25/01/2000,2,7,1,2000,216
Walpeup,Symes,OLD,29/02/2000,1,6,2,2000,120
Walpeup,Symes,OLD,29/02/2000,2,5,2,2000,216
Walpeup,Symes,OLD,5/04/2000,1,15,4,2000,120
Walpeup,Symes,OLD,5/04/2000,2,8,4,2000,216
Walpeup,Symes,OLD,23/05/2000,1,3,5,2000,120
Walpeup,Symes,OLD,23/05/2000,2,2,5,2000,216
Walpeup,Symes,OLD,18/07/2000,1,19,7,2000,120
Walpeup,Symes,OLD,18/07/2000,2,7,7,2000,216
Walpeup,Symes,OLD,27/08/2000,1,11,8,2000,120
Walpeup,Symes,OLD,27/08/2000,2,14,8,2000,216
Walpeup,Symes,OLD,3/10/2000,1,33,10,2000,120
Walpeup,Symes,OLD,3/10/2000,2,13,10,2000,216
Walpeup,Symes,OLD,14/11/2000,1,53,11,2000,120
Walpeup,Symes,OLD,14/11/2000,2,15,11,2000,216
Walpeup,Symes,OLD,18/12/2000,1,33,12,2000,120
Walpeup,Symes,OLD,18/12/2000,2,28,12,2000,216
Walpeup,Symes,OLD,1/02/2001,1,20,2,2001,120
Walpeup,Symes,OLD,1/02/2001,2,38,2,2001,216
Walpeup,Symes,OLD,13/03/2001,1,34,3,2001,120
Walpeup,Symes,OLD,13/03/2001,2,43,3,2001,216
Walpeup,Symes,OLD,1/05/2001,1,28,5,2001,120
Walpeup,Symes,OLD,1/05/2001,2,53,5,2001,216
Walpeup,Symes,OLD,13/06/2001,1,161,6,2001,120
Walpeup,Symes,OLD,13/06/2001,2,102,6,2001,216
Walpeup,Symes,OLD,24/09/2001,1,82,9,2001,120
Walpeup,Symes,OLD,24/09/2001,2,15,9,2001,216
Walpeup,Symes,OLD,7/11/2001,1,44,11,2001,120
Walpeup,Symes,OLD,7/11/2001,2,3,11,2001,216
Walpeup,Symes,OLD,16/12/2001,1,8,12,2001,120
Walpeup,Symes,OLD,16/12/2001,2,9,12,2001,216
Walpeup,Symes,OLD,7/02/2002,1,0,2,2002,120
Walpeup,Symes,OLD,7/02/2002,2,1,2,2002,216
Walpeup,Symes,OLD,6/05/2002,1,2,5,2002,120
Walpeup,Symes,OLD,6/05/2002,2,3,5,2002,216
Walpeup,MRS,NEW,30/10/2012,2,2,10,2012,90
Walpeup,MRS,NEW,30/10/2012,1,5,10,2012,216
