region,site,subsite,longitude,latitude,date_set,date_recovered,crop_type,crop_stage,biomass_comments,burrow_effort,burrow_total,burrow_comments
Moree,Windoondilla,Windoondilla,149.832756,-29.74091,2013-04-30,2013-05-01,wheat,stubble  (heads harvested),6000 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Downs Central,12 to 17,12 to 17/12,151.326317,-27.550632,2013-05-05,2013-05-06,corn,stubble  (heads harvested),,200,0,Site 12
Callide Valley,Ardnith 12 - 13,Ardnith 12,150.4935711,-24.2938722,2013-05-28,2013-05-29,mown road verge (recent),n/a,500 kg/ha,200,0,
Callide Valley,Ardnith 12 - 13,Ardnith 13,150.4935711,-24.2938722,2013-05-28,2013-05-29,wheat,young (no flowers/head),">3,000 kg/ha",200,0,"Site 13 results
Wheat sown today; sown into mungbean stubble"
Callide Valley,Grandview 7 - 9,Grandview 8,150.5388683,-24.3247873,2013-05-28,2013-05-29,wheat,young (no flowers/head),"5,700 kg/ha",200,0,Site 8 results
Callide Valley,Rosehill 17 - 18,Rosehill 17,150.397709,-24.2102516,2013-05-28,2013-05-29,wheat,young (no flowers/head),">20,000 kg/ha",200,0,"Site 17 results
Crop sown on Saturday two weeks ago."
Callide Valley,Site 10 - 11,Site 10,150.5284506,-24.3534709,2013-05-28,2013-05-29,wheat,young (no flowers/head),">5,000 kg/ha",200,0,"Site 10 results
Sown 2-3 weeks ago into cereal stubble"
Callide Valley,Grandview  19 - 20,Grandview  19 - 20,150.3808218,-24.2001987,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,">20,000 kg/ha",200,0,
Callide Valley,Grandview  19 - 20,Grandview  20,150.3808218,-24.2001987,2013-05-29,2013-05-30,wheat,young (no flowers/head),"5,700 kg/ha",200,0,"Site 20
Paddock next to machinery sheds.
Darren Jensen sharefarming Len Radel's property"
Callide Valley,Horsley Cross 5 - 6,Horsley Cross 5,150.529502,-24.4216097,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,">20,000 kg/ha",200,0,"Site 5
Richard Fairley - new owner. Formerly 'Araluen'"
Callide Valley,Horsley Cross 5 - 6,Horsley Cross 6,150.529502,-24.4216097,2013-05-29,2013-05-30,sorghum,mature (flowers/heads),">20,000 kg/ha",200,0,"Site 6
Sorghum to be harvested in next 1-2 days.
A few active burrows notes in crop, outside transect area.
Richard Fairley - new owner. Formerly 'Araluen'."
Callide Valley,Jambin 21- 22,Jambin 21,150.3766,-24.2088783,2013-05-29,2013-05-30,sorghum,mulch (stubble cut/unploughed),"2,500 kg/ha",200,0,"Site 21 results
Fallow and sorghum stuble + regrowth.
Paddock had 1m of floodwater over it in January."
Callide Valley,Jambin 21- 22,Jambin 22,150.3766,-24.2088783,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,">20,000 kg/ha",200,0,
